institution_id,name,relation_type_hint
I000001, 시라카바(白樺),소속단체
I000002,(기독교)종교교육,발표매체
I000003,13인 구락부,소속단체
I000004,SPA양화연구소,소속단체
I000005,가나카와중학,학교
I000006,가두극장,소속단체
I000007,가와바타 미술학교,학교
I000008,가정잡지(1906),발표매체
I000009,가정잡지(1922),발표매체
I000010,가정지우,발표매체
I000011,가톨릭소년,발표매체
I000012,가톨릭연구,발표매체
I000013,가톨릭조선,발표매체
I000014,가톨릭청년,발표매체
I000015,감리회보,발표매체
I000016,강원도 이천,출생
I000017,강원도 철원,출생
I000018,강원도 홍천,출생
I000019,강진보통학교,학교
I000020,개벽,발표매체
I000021,개성,출생
I000022,개성공립상업학교,학교
I000023,개성공립제일보통학교,학교
I000024,개성무역상업학교,학교
I000025,개성부립박물관,직장
I000026,개성전수학교,학교
I000027,개성제일공립보통학교,학교
I000028,개조사,소속단체
I000029,건축조선,발표매체
I000030,게이오대학교,학교
I000031,게키죠산카,소속단체
I000032,경기도 개성,출생
I000033,경기도 건축대서사,소속단체
I000034,경기도 수원,출생
I000035,경기도 화성,출생
I000036,경남 거제,출생
I000037,경북 대구,출생
I000038,경북 선산,출생
I000039,경상남도,출생
I000040,경상북도,출생
I000041,경상북도 대구,출생
I000042,경성 미쓰코시 백화점,발표매체
I000043,경성고등공업학교,학교
I000044,경성공립고등보통학교,학교
I000045,경성방송국,직장
I000046,경성법학전문학교,학교
I000047,경성보육학교,직장
I000048,경성사범부속보통학교,학교
I000049,경성사범학교,학교
I000050,경성양정고등보통학교,학교
I000051,경성여자미술학교,직장
I000052,경성여자상업고등학교,직장
I000053,경성오성학교,학교
I000054,경성전수학교,학교
I000055,경성제1고등보통학교,학교
I000056,경성제2고등보통학교,학교
I000057,경성제국대학교,학교
I000058,경성중동학교,학교
I000059,경성중앙방송국,직장
I000060,경성중학교,직장
I000061,경성청년회,소속단체
I000062,경성촬영소,소속단체
I000063,경성회화학원,학교
I000064,경신고등보통학교,학교
I000065,경신중학교,학교
I000066,경향신문,직장
I000067,계동보통학교,학교
I000068,계림,발표매체
I000069,계명,발표매체
I000070,계명구락부,직장
I000071,계명시보,발표매체
I000072,계성학교,학교
I000073,고려미술회,소속단체
I000074,고려발명협회,소속단체
I000075,고려영화협회,소속단체
I000076,고성 금강고등학교,직장
I000077,고성 금강중학교,직장
I000078,고아,발표매체
I000079,고양,발표매체
I000080,공도,발표매체
I000081,공영,발표매체
I000082,공제,발표매체
I000083,공주공립보통학교,학교
I000084,과학조선,발표매체
I000085,광업조선,발표매체
I000086,광주공립고등보통학교,학교
I000087,광주공립보통학교,학교
I000088,광화,발표매체
I000089,교동보통학교,학교
I000090,교육춘추,발표매체
I000091,교토 관서미술원,학교
I000092,구인회,소속단체
I000093,국립극장,소속단체
I000094,국민문학,발표매체
I000095,국민총력조선연맹,소속단체
I000096,국우,발표매체
I000097,극단 불개미,소속단체
I000098,극단 전선,소속단체
I000099,극예술,발표매체
I000100,극예술연구회,소속단체
I000101,극예술원,소속단체
I000102,극예술협회,소속단체
I000103,극장 삼과,소속단체
I000104,근대생활,소속단체
I000105,근우,발표매체
I000106,근화,발표매체
I000107,금강산,발표매체
I000108,금지,발표매체
I000109,기쁜소식,발표매체
I000110,나가자,발표매체
I000111,나고야 아방가르드 클럽,소속단체
I000112,나고야·포트아방가르드,소속단체
I000113,나운규프로덕션,소속단체
I000114,난파트리오,소속단체
I000115,남조선 조소문화협회,소속단체
I000116,남조선민전,소속단체
I000117,낭만사,직장
I000118,녀자지남,발표매체
I000119,농민(1930),발표매체
I000120,농민생활,발표매체
I000121,농업과원예,발표매체
I000122,농업세게,발표매체
I000123,농업조선,발표매체
I000124,농촌,발표매체
I000125,농촌문헌,발표매체
I000126,농촌월보,발표매체
I000127,니혼대학,학교
I000128,다방 69,직장
I000129,다방 무기,직장
I000130,다방 제비,직장
I000131,단층,발표매체
I000132,대구사립교남학원고등학교,학교
I000133,대도,발표매체
I000134,대동아,발표매체
I000135,대조,발표매체
I000136,대중,발표매체
I000137,대중공론,발표매체
I000138,대중시보,발표매체
I000139,대중의학,발표매체
I000140,대중일기,발표매체
I000141,대평양,발표매체
I000142,대한민국미술전람회,발표매체
I000143,대한영화사,직장
I000144,대한영화협회,직장
I000145,대한자강회월보,발표매체
I000146,대한학회월보,발표매체
I000147,도시샤대학교,학교
I000148,도요야마중학교,학교
I000149,도쿄 니시키시로중학교,학교
I000150,도쿄 세이소쿠 영어학교,학교
I000151,도쿄 세이조 중학교,학교
I000152,도쿄 아오야마 학원,학교
I000153,도쿄 조치대학,학교
I000154,도쿄 혼고,출생
I000155,도쿄 혼고 양화연구소,소속단체
I000156,도쿄고등음악학원(구니다치음악대학),학교
I000157,도쿄대학교,학교
I000158,도쿄미술학교,학교
I000159,도쿄신교향악단(nhk교향악당),소속단체
I000160,도쿄여자미술전문학교,학교
