sourceRow,name,source_job,source_nationality,tier
데이터수정!1328,고영환,학자,,name-only
데이터수정!1679,공진항,,한국,name+nationality
데이터수정!1680,공진항,,한국,name+nationality
데이터수정!1681,공진항,,한국,name+nationality
데이터수정!1683,공진항,,한국,name+nationality
데이터수정!1684,공진항,,한국,name+nationality
데이터수정!1685,공진항,,한국,name+nationality
데이터수정!1686,공진항,,한국,name+nationality
데이터수정!3497,김경재,,한국,name+nationality
데이터수정!3559,김계현,,한국,name+nationality
데이터수정!3945,김교경,,한국,name+nationality
데이터수정!4551,김기진외,,한국,name+nationality
데이터수정!6075,김매산,연극인,한국,name+nationality
데이터수정!6359,김문식,문인,한국,name+nationality
데이터수정!6360,김문식,문인,한국,name+nationality
데이터수정!6361,김문식,문인,한국,name+nationality
데이터수정!6362,김문식,문인,한국,name+nationality
데이터수정!6806,김봉국,,한국,name+nationality
데이터수정!6807,김봉국,,한국,name+nationality
데이터수정!7295,김성마,,한국,name+nationality
데이터수정!7470,김소저,,한국,name+nationality
데이터수정!9740,김윤석,,한국,name+nationality
데이터수정!9780,김은상,,한국,name+nationality
데이터수정!10166,김재준,,한국,name+nationality
데이터수정!10582,김준황,,한국,name+nationality
데이터수정!11310,김태성,,한국,name+nationality
데이터수정!12032,김호직,,한국,name+nationality
데이터수정!12294,김흥교,미술가,한국,name+nationality
데이터수정!12343,나경석,,한국,name+nationality
데이터수정!12345,나경석,,한국,name+nationality
데이터수정!12719,남정철,,한국,name+nationality
데이터수정!12720,남정철,,한국,name+nationality
데이터수정!12721,남정철,,한국,name+nationality
데이터수정!15054,문학준,,한국,name+nationality
데이터수정!15733,박길래,,한국,name+nationality
데이터수정!15734,박길래,,한국,name+nationality
데이터수정!16669,박승호,,한국,name+nationality
데이터수정!16670,박승호,,한국,name+nationality
데이터수정!19589,백중빈,,한국,name+nationality
데이터수정!19590,백중빈,,한국,name+nationality
데이터수정!19802,백화랑,,한국,name+nationality
데이터수정!21145,상규,,한국,name+nationality
데이터수정!21174,상묵,,한국,name+nationality
데이터수정!21175,상묵,,한국,name+nationality
데이터수정!22274,석산인,,한국,name+nationality
데이터수정!22999,세웅,,한국,name+nationality
데이터수정!23000,세웅,,한국,name+nationality
데이터수정!23004,세웅,,한국,name+nationality
데이터수정!23218,손득명,,한국,name+nationality
데이터수정!23229,손세종,,한국,name+nationality
데이터수정!23230,손세종,,한국,name+nationality
데이터수정!23510,송석찬,,한국,name+nationality
데이터수정!24132,순탁,,한국,name+nationality
데이터수정!24133,순탁,,한국,name+nationality
데이터수정!24134,순탁,,한국,name+nationality
데이터수정!24135,순탁,,한국,name+nationality
데이터수정!24136,순탁,,한국,name+nationality
데이터수정!25472,악예,,한국,name+nationality
데이터수정!25473,악예,,한국,name+nationality
데이터수정!25474,악예,,한국,name+nationality
데이터수정!25475,악예,,한국,name+nationality
데이터수정!28608,온,,한국,name+nationality
데이터수정!28720,외,문인,한국,name+nationality
데이터수정!28721,외,문인,한국,name+nationality
데이터수정!28723,외,문인,한국,name+nationality
데이터수정!28724,외,문인,한국,name+nationality
데이터수정!28751,외,문인,한국,name+nationality
데이터수정!28752,외,문인,한국,name+nationality
데이터수정!28753,외,문인,한국,name+nationality
데이터수정!28754,외,문인,한국,name+nationality
데이터수정!28755,외,문인,한국,name+nationality
데이터수정!28756,외,문인,한국,name+nationality
데이터수정!28757,외,문인,한국,name+nationality
데이터수정!28758,외,문인,한국,name+nationality
데이터수정!28759,외,문인,한국,name+nationality
데이터수정!28760,외,문인,한국,name+nationality
데이터수정!28761,외,문인,한국,name+nationality
데이터수정!28762,외,문인,한국,name+nationality
데이터수정!28763,외,문인,한국,name+nationality
데이터수정!28764,외,문인,한국,name+nationality
데이터수정!28765,외,문인,한국,name+nationality
데이터수정!28766,외,문인,한국,name+nationality
데이터수정!28770,외,문인,한국,name+nationality
데이터수정!28772,외,문인,한국,name+nationality
데이터수정!28776,외,문인,한국,name+nationality
데이터수정!28795,외,문인,한국,name+nationality
데이터수정!28796,외,문인,한국,name+nationality
데이터수정!28797,외,문인,한국,name+nationality
데이터수정!28798,외,문인,한국,name+nationality
데이터수정!28799,외,문인,한국,name+nationality
데이터수정!28800,외,문인,한국,name+nationality
데이터수정!28801,외,문인,한국,name+nationality
데이터수정!28802,외,문인,한국,name+nationality
데이터수정!28803,외,문인,한국,name+nationality
데이터수정!28804,외,문인,한국,name+nationality
데이터수정!28805,외,문인,한국,name+nationality
데이터수정!28808,외,문인,한국,name+nationality
데이터수정!28809,외,문인,한국,name+nationality
데이터수정!28810,외,문인,한국,name+nationality
데이터수정!28814,외,문인,한국,name+nationality
데이터수정!29649,위상학,미술가,한국,name+nationality
데이터수정!29994,유치진,연극인,한국,name+nationality
데이터수정!29995,유치진,연극인,한국,name+nationality
데이터수정!29996,유치진,연극인,한국,name+nationality
데이터수정!29997,유치진,연극인,한국,name+nationality
데이터수정!29998,유치진,연극인,한국,name+nationality
데이터수정!30005,유치진,연극인,한국,name+nationality
