person_id,name,job,nationality
P000001,三中俊南,미술가,한국
P000002,丹山徹,미술가,한국
P000003,和山二鳳,미술가,한국
P000004,大山博彦,미술가,한국
P000005,山本義一,미술가,한국
P000006,木下烈男,미술가,한국
P000007,木戶降慶,미술가,한국
P000008,木都東根,미술가,한국
P000009,東川尙平,미술가,한국
P000010,松川在曄,미술가,한국
P000011,洪川義也,미술가,한국
P000012,白川截興,미술가,한국
P000013,竹林( )曄,미술가,한국
P000014,菊原穗,미술가,한국
P000015,豊川錫宰,미술가,한국
P000016,金子永一郎,미술가,한국
P000017,金山俊三,미술가,한국
P000018,金谷振勳,미술가,한국
P000019,香林義明,미술가,한국
P000020,高山靖英,미술가,한국
P000021,가,문인,한국
P000022,가가승,문인,한국
P000023,가금동,문인,한국
P000024,가나리야,문인,한국
P000025,가락인,문인,한국
P000026,가목사,문인,한국
P000027,가무라 이소타,문인,일본
P000028,가부라키 기요카타,미술가,일본
P000029,가빈,문인,한국
P000030,가성주,문인,한국
P000031,가와바타 야스나리,문인,일본
P000032,가와사키 쇼코,미술가,일본
P000033,가와카미 료카,미술가,일본
P000034,가을뫼,문인,한국
P000035,가을사람,문인,한국
P000036,가이식,문인,한국
P000037,가자봉인,문인,한국
P000038,가자옥,문인,한국
P000039,가종,문인,한국
P000040,가종인,문인,한국
P000041,가철삼,문인,한국
P000042,가타야마 도시히코,미술가,일본
P000043,가토 타케오,문인,일본
P000044,가토리 히데마사,미술가,일본
P000045,가펼우남,,한국
P000046,각경,문인,한국
P000047,각광자,문인,한국
P000048,각도인,문인,한국
P000049,각살이,문인,한국
P000050,각종,문인,한국
P000051,각종당,문인,한국
P000052,각지대표,문인,한국
P000053,간,,한국
P000054,간도금기종,문인,한국
P000055,간정생,문인,한국
P000056,갈가,문인,한국
P000057,갈닐리,문인,한국
P000058,갈도,문인,한국
P000059,갈매기,,한국
P000060,갈맥,문인,한국
P000061,갈애,문인,한국
P000062,감람산인,문인,한국
P000063,감메,,한국
P000064,감산인,문인,한국
P000065,감탄,문인,한국
P000066,갑,문인,한국
P000067,갑기,문인,한국
P000068,갑섭,문인,한국
P000069,갑수,문인,한국
P000070,갑식,문인,한국
P000071,강,문인,한국
P000072,강가마,문인,한국
P000073,강거사,문인,한국
P000074,강경,문인,한국
P000075,강경범,문인,한국
P000076,강경부,문인,한국
P000077,강경애,문인,한국
P000078,강경임,문인,한국
P000079,강경향,문인,한국
P000080,강계김운롱,,한국
P000081,강계순,문인,한국
P000082,강계음,문인,한국
P000083,강계전치화,문인,한국
