relation_id,subject,predicate,object,year,attributeLabel,note,source,sourceRow,edition
R00000001,P000021,art:authored,I000502,1937,발표매체,"제1호,1937-1",한국문학잡지데이터,데이터수정!2,edition:재편찬판본
R00000002,P000022,art:authored,I000269,1929,발표매체,"제23호,1929-9",한국문학잡지데이터,데이터수정!3,edition:재편찬판본
R00000003,P000023,art:authored,I000449,1945,발표매체,"제11권 제2ㆍ3호,1945-3",한국문학잡지데이터,데이터수정!4,edition:재편찬판본
R00000004,P000024,art:authored,I000451,1926,발표매체,"제4권 제5호,1926-5",한국문학잡지데이터,데이터수정!5,edition:재편찬판본
R00000005,P000025,art:authored,I000580,1925,발표매체,"제10호,1925-7",한국문학잡지데이터,데이터수정!6,edition:재편찬판본
R00000006,P000026,art:authored,I000707,1930,발표매체,"제2권 제7호,1930-7",한국문학잡지데이터,데이터수정!7,edition:재편찬판본
R00000007,P000027,art:bornIn,I000745,1897,출생,,연구자,데이터수정!8,edition:재편찬판본
R00000008,P000027,art:memberOf,I000425,1930,소속단체,,나미가타 츠요시(2016),데이터수정!9,edition:재편찬판본
R00000009,P000027,art:memberOf,I000003,1930,소속단체,,나미카타 츠요시(2018),데이터수정!10,edition:재편찬판본
R00000010,P000028,art:workedAt,I000568,1933,직장,日本書科,한국근현대미술기록연구회(2004),데이터수정!11,edition:재편찬판본
R00000011,P000028,art:workedAt,I000568,1934,직장,日本書科,한국근현대미술기록연구회(2004),데이터수정!12,edition:재편찬판본
R00000012,P000029,art:authored,I000451,1932,발표매체,"제10권 제5호,1932-5",한국문학잡지데이터,데이터수정!13,edition:재편찬판본
R00000013,P000029,art:authored,I000451,1932,발표매체,"제10권 제7호,1932-7",한국문학잡지데이터,데이터수정!14,edition:재편찬판본
R00000014,P000029,art:authored,I000451,1932,발표매체,"제10권 제8호,1932-8",한국문학잡지데이터,데이터수정!15,edition:재편찬판본
R00000015,P000029,art:authored,I000270,1933,발표매체,"제8권 제2호,1933-2",한국문학잡지데이터,데이터수정!16,edition:재편찬판본
R00000016,P000029,art:authored,I000270,1933,발표매체,"제8권 제10호,1933-12",한국문학잡지데이터,데이터수정!17,edition:재편찬판본
R00000017,P000029,art:authored,I000270,1934,발표매체,"제9권 제2호,1934-2",한국문학잡지데이터,데이터수정!18,edition:재편찬판본
R00000018,P000030,art:authored,I000407,1929,발표매체,"제34호,1929-4",한국문학잡지데이터,데이터수정!19,edition:재편찬판본
R00000019,P000031,art:memberOf,I000425,1930,소속단체,,나미가타 츠요시(2016),데이터수정!20,edition:재편찬판본
R00000020,P000031,art:memberOf,I000003,1930,소속단체,,나미카타 츠요시(2019),데이터수정!21,edition:재편찬판본
R00000021,P000032,art:workedAt,I000568,1933,직장,日本書科,한국근현대미술기록연구회(2004),데이터수정!22,edition:재편찬판본
R00000022,P000032,art:workedAt,I000568,1934,직장,日本書科,한국근현대미술기록연구회(2004),데이터수정!23,edition:재편찬판본
R00000023,P000032,art:workedAt,I000568,1935,직장,日本書科,한국근현대미술기록연구회(2004),데이터수정!24,edition:재편찬판본
R00000024,P000033,art:memberOf,I000682,1930,소속단체,,나미카타 츠요시(2013),데이터수정!25,edition:재편찬판본
R00000025,P000033,art:bornIn,I000154,1887,출생,조각가,연구자,데이터수정!26,edition:재편찬판본
R00000026,P000034,art:authored,I000621,1920,발표매체,"제1호,1920-12",한국문학잡지데이터,데이터수정!27,edition:재편찬판본
R00000027,P000035,art:authored,I000277,1924,발표매체,"제1호,1924-7",한국문학잡지데이터,데이터수정!28,edition:재편찬판본
R00000028,P000036,art:authored,I000449,1942,발표매체,"제8권 제12호,1942-12",한국문학잡지데이터,데이터수정!29,edition:재편찬판본
R00000029,P000037,art:authored,I000647,1919,발표매체,"제110호,1919-10",한국문학잡지데이터,데이터수정!30,edition:재편찬판본
R00000030,P000037,art:authored,I000647,1919,발표매체,"제112호,1919-12",한국문학잡지데이터,데이터수정!31,edition:재편찬판본
R00000031,P000037,art:authored,I000647,1920,발표매체,"제122호,1920-10",한국문학잡지데이터,데이터수정!32,edition:재편찬판본
R00000032,P000037,art:authored,I000407,1926,발표매체,"제1호,1926-4",한국문학잡지데이터,데이터수정!33,edition:재편찬판본
R00000033,P000037,art:authored,I000407,1928,발표매체,"제27호,1928-9",한국문학잡지데이터,데이터수정!34,edition:재편찬판본
R00000034,P000037,art:authored,I000269,1927,발표매체,"제9호,1927-10",한국문학잡지데이터,데이터수정!35,edition:재편찬판본
R00000035,P000037,art:authored,I000020,1921,발표매체,"제7호,1921-1",한국문학잡지데이터,데이터수정!36,edition:재편찬판본
R00000036,P000037,art:authored,I000020,1921,발표매체,"제17호,1921-11",한국문학잡지데이터,데이터수정!37,edition:재편찬판본
R00000037,P000038,art:authored,I000569,1943,발표매체,"제9권 제12호,1943-12",한국문학잡지데이터,데이터수정!38,edition:재편찬판본
R00000038,P000039,art:authored,I000658,1939,발표매체,"제1호,1939-9",한국문학잡지데이터,데이터수정!39,edition:재편찬판본
R00000039,P000039,art:authored,I000658,1940,발표매체,"제3호,1940-3",한국문학잡지데이터,데이터수정!40,edition:재편찬판본
R00000040,P000039,art:authored,I000586,1939,발표매체,"제18호,1939-5",한국문학잡지데이터,데이터수정!41,edition:재편찬판본
R00000041,P000039,art:authored,I000353,1939,발표매체,"제7호,1939-10",한국문학잡지데이터,데이터수정!42,edition:재편찬판본
R00000042,P000039,art:authored,I000292,1939,발표매체,"제10권 제7호,1939-7",한국문학잡지데이터,데이터수정!43,edition:재편찬판본
R00000043,P000040,art:authored,I000580,1925,발표매체,"제12호,1925-10",한국문학잡지데이터,데이터수정!44,edition:재편찬판본
R00000044,P000041,art:authored,I000449,1944,발표매체,"제10권 제2호,1944-2",한국문학잡지데이터,데이터수정!45,edition:재편찬판본
R00000045,P000042,art:workedAt,I000568,1942,직장,0,한국근현대미술기록연구회(2004),데이터수정!46,edition:재편찬판본
R00000046,P000043,art:memberOf,I000425,1930,소속단체,,나미가타 츠요시(2016),데이터수정!47,edition:재편찬판본
R00000047,P000043,art:memberOf,I000003,1930,소속단체,,나미카타 츠요시(2020),데이터수정!48,edition:재편찬판본
R00000048,P000044,art:workedAt,I000568,1937,직장,金工史,한국근현대미술기록연구회(2004),데이터수정!49,edition:재편찬판본
R00000049,P000044,art:workedAt,I000568,1938,직장,金工史,한국근현대미술기록연구회(2004),데이터수정!50,edition:재편찬판본
R00000050,P000044,art:workedAt,I000568,1939,직장,金工史,한국근현대미술기록연구회(2004),데이터수정!51,edition:재편찬판본
R00000051,P000044,art:workedAt,I000568,1940,직장,金工史,한국근현대미술기록연구회(2004),데이터수정!52,edition:재편찬판본
R00000052,P000044,art:workedAt,I000568,1941,직장,金工史,한국근현대미술기록연구회(2004),데이터수정!53,edition:재편찬판본
R00000053,P000044,art:workedAt,I000568,1942,직장,金工史,한국근현대미술기록연구회(2004),데이터수정!54,edition:재편찬판본
R00000054,P000045,art:authored,I000020,1926,발표매체,"제69호,1926-5",한국문학잡지데이터,데이터수정!55,edition:재편찬판본
R00000055,P000046,art:authored,I000630,1934,발표매체,"제2권 제7호,1934-7",한국문학잡지데이터,데이터수정!56,edition:재편찬판본
R00000056,P000047,art:authored,I000296,1938,발표매체,"제4권 제10호,1938-10",한국문학잡지데이터,데이터수정!57,edition:재편찬판본
R00000057,P000048,art:authored,I000269,1929,발표매체,"제24호,1929-12",한국문학잡지데이터,데이터수정!58,edition:재편찬판본
R00000058,P000049,art:authored,I000269,1929,발표매체,"제20호,1929-4",한국문학잡지데이터,데이터수정!59,edition:재편찬판본
R00000059,P000050,art:authored,I000385,1926,발표매체,"제9호,1926-1",한국문학잡지데이터,데이터수정!60,edition:재편찬판본
R00000060,P000050,art:authored,I000385,1926,발표매체,"제14호,1926-6",한국문학잡지데이터,데이터수정!61,edition:재편찬판본
R00000061,P000050,art:authored,I000385,1926,발표매체,"제19호,1926-11",한국문학잡지데이터,데이터수정!62,edition:재편찬판본
R00000062,P000050,art:authored,I000385,1930,발표매체,"제58호,1930-5",한국문학잡지데이터,데이터수정!63,edition:재편찬판본
R00000063,P000051,art:authored,I000570,1927,발표매체,"제118호,1927-8",한국문학잡지데이터,데이터수정!64,edition:재편찬판본
R00000064,P000052,art:authored,I000373,1939,발표매체,"제1호,1939-3",한국문학잡지데이터,데이터수정!65,edition:재편찬판본
R00000065,P000053,art:authored,I000269,1927,발표매체,"제9호,1927-10",한국문학잡지데이터,데이터수정!66,edition:재편찬판본
R00000066,P000054,art:authored,I000269,1928,발표매체,"제15호,1928-8",한국문학잡지데이터,데이터수정!67,edition:재편찬판본
R00000067,P000055,art:authored,I000107,,발표매체,"제7호,불명(판권낙장-",한국문학잡지데이터,데이터수정!68,edition:재편찬판본
R00000068,P000056,art:authored,I000732,1931,발표매체,"제1호,1931-7",한국문학잡지데이터,데이터수정!69,edition:재편찬판본
R00000069,P000057,art:authored,I000002,1931,발표매체,"제2권 제2호,1931-1",한국문학잡지데이터,데이터수정!70,edition:재편찬판본
R00000070,P000058,art:authored,I000014,1936,발표매체,"제4권 제1호,1936-1",한국문학잡지데이터,데이터수정!71,edition:재편찬판본
R00000071,P000058,art:authored,I000014,1936,발표매체,"제4권 제2호,1936-2",한국문학잡지데이터,데이터수정!72,edition:재편찬판본
R00000072,P000058,art:authored,I000014,1936,발표매체,"제4권 제3호,1936-3",한국문학잡지데이터,데이터수정!73,edition:재편찬판본
R00000073,P000058,art:authored,I000014,1936,발표매체,"제4권 제4호,1936-4",한국문학잡지데이터,데이터수정!74,edition:재편찬판본
R00000074,P000058,art:authored,I000014,1936,발표매체,"제4권 제5호,1936-5",한국문학잡지데이터,데이터수정!75,edition:재편찬판본
R00000075,P000058,art:authored,I000014,1936,발표매체,"제4권 제6호,1936-6",한국문학잡지데이터,데이터수정!76,edition:재편찬판본
R00000076,P000058,art:authored,I000014,1936,발표매체,"제4권 제7호,1936-7",한국문학잡지데이터,데이터수정!77,edition:재편찬판본
R00000077,P000058,art:authored,I000014,1936,발표매체,"제4권 제8호,1936-8",한국문학잡지데이터,데이터수정!78,edition:재편찬판본
R00000078,P000058,art:authored,I000014,1936,발표매체,"제4권 제9호,1936-9",한국문학잡지데이터,데이터수정!79,edition:재편찬판본
R00000079,P000058,art:authored,I000014,1936,발표매체,"제4권 제11호,1936-11",한국문학잡지데이터,데이터수정!80,edition:재편찬판본
R00000080,P000058,art:authored,I000014,1936,발표매체,"제4권 제12호,1936-12",한국문학잡지데이터,데이터수정!81,edition:재편찬판본
R00000081,P000059,art:authored,I000580,1926,발표매체,"제17호,1926-6",한국문학잡지데이터,데이터수정!82,edition:재편찬판본
R00000082,P000060,art:authored,I000570,1934,발표매체,"제197호,1934-3",한국문학잡지데이터,데이터수정!83,edition:재편찬판본
R00000083,P000061,art:authored,I000391,1929,발표매체,"제2권 제6호,1929-6",한국문학잡지데이터,데이터수정!84,edition:재편찬판본
R00000084,P000062,art:authored,I000343,1928,발표매체,"제3권 제4호,1928-4",한국문학잡지데이터,데이터수정!85,edition:재편찬판본
R00000085,P000063,art:authored,I000712,1932,발표매체,"제1권 제3호,1932-7",한국문학잡지데이터,데이터수정!86,edition:재편찬판본
R00000086,P000064,art:authored,I000296,1938,발표매체,"제4권 제4호,1938-4",한국문학잡지데이터,데이터수정!87,edition:재편찬판본
R00000087,P000065,art:authored,I000763,1933,발표매체,"제2·3호,1933-3",한국문학잡지데이터,데이터수정!88,edition:재편찬판본
R00000088,P000066,art:authored,I000712,1932,발표매체,"제1권 제5호,1932-10",한국문학잡지데이터,데이터수정!89,edition:재편찬판본
R00000089,P000066,art:authored,I000380,1936,발표매체,"제6권 제1호,1936-1",한국문학잡지데이터,데이터수정!90,edition:재편찬판본
R00000090,P000066,art:authored,I000375,1935,발표매체,"제3권 제9호,1935-9",한국문학잡지데이터,데이터수정!91,edition:재편찬판본
R00000091,P000067,art:authored,I000705,1936,발표매체,"제1호,1936-12",한국문학잡지데이터,데이터수정!92,edition:재편찬판본
R00000092,P000067,art:authored,I000586,1936,발표매체,"제2권 제6호,1936-4",한국문학잡지데이터,데이터수정!93,edition:재편찬판본
R00000093,P000067,art:authored,I000479,1935,발표매체,"제1권 제3호,1935-7",한국문학잡지데이터,데이터수정!94,edition:재편찬판본
R00000094,P000067,art:authored,I000459,1932,발표매체,"제1권 제5호,1932-10",한국문학잡지데이터,데이터수정!95,edition:재편찬판본
R00000095,P000067,art:authored,I000410,1932,발표매체,"제4호,1932-10",한국문학잡지데이터,데이터수정!96,edition:재편찬판본
R00000096,P000067,art:authored,I000305,1932,발표매체,"제4권 제12호,1932-12",한국문학잡지데이터,데이터수정!97,edition:재편찬판본
R00000097,P000067,art:authored,I000305,1936,발표매체,"제8권 제6호,1936-6",한국문학잡지데이터,데이터수정!98,edition:재편찬판본
R00000098,P000067,art:authored,I000292,1932,발표매체,"제2권 제3호,1932-3",한국문학잡지데이터,데이터수정!99,edition:재편찬판본
R00000099,P000068,art:authored,I000569,1939,발표매체,"제5권 제10호,1939-10",한국문학잡지데이터,데이터수정!100,edition:재편찬판본
R00000100,P000068,art:authored,I000569,1939,발표매체,"제5권 제12호,1939-12",한국문학잡지데이터,데이터수정!101,edition:재편찬판본
R00000101,P000068,art:authored,I000569,1943,발표매체,"제9권 제7호,1943-7",한국문학잡지데이터,데이터수정!102,edition:재편찬판본
R00000102,P000068,art:authored,I000518,1939,발표매체,"제2호,1939-11",한국문학잡지데이터,데이터수정!103,edition:재편찬판본
R00000103,P000069,art:authored,I000707,1929,발표매체,"제1권 제1호,1929-3",한국문학잡지데이터,데이터수정!104,edition:재편찬판본
R00000104,P000069,art:authored,I000569,1938,발표매체,"제4권 제2호,1938-2",한국문학잡지데이터,데이터수정!105,edition:재편찬판본
R00000105,P000069,art:authored,I000305,1930,발표매체,"제2권 제7호,1930-11",한국문학잡지데이터,데이터수정!106,edition:재편찬판본
R00000106,P000069,art:authored,I000269,1931,발표매체,"제6권 제2호,1931-2",한국문학잡지데이터,데이터수정!107,edition:재편찬판본
R00000107,P000069,art:authored,I000269,1931,발표매체,"제6권 제2호,1931-2",한국문학잡지데이터,데이터수정!108,edition:재편찬판본
R00000108,P000070,art:authored,I000270,1934,발표매체,"제9권 제2호,1934-2",한국문학잡지데이터,데이터수정!109,edition:재편찬판본
R00000109,P000070,art:authored,I000270,1934,발표매체,"제9권 제3호,1934-4",한국문학잡지데이터,데이터수정!110,edition:재편찬판본
R00000110,P000071,art:authored,I000737,1927,발표매체,"제1권 제8호,1927-9",한국문학잡지데이터,데이터수정!111,edition:재편찬판본
R00000111,P000071,art:authored,I000737,1927,발표매체,"제1권 제9호,1927-10",한국문학잡지데이터,데이터수정!112,edition:재편찬판본
R00000112,P000071,art:authored,I000737,1928,발표매체,"제2권 제1호,1928-1",한국문학잡지데이터,데이터수정!113,edition:재편찬판본
R00000113,P000072,art:authored,I000764,1924,발표매체,"제3호,1924-5",한국문학잡지데이터,데이터수정!114,edition:재편찬판본
R00000114,P000073,art:authored,I000380,1932,발표매체,"제2권 제8호,1932-8",한국문학잡지데이터,데이터수정!115,edition:재편찬판본
R00000115,P000074,art:authored,I000270,1931,발표매체,"제6권 제1호,1931-2",한국문학잡지데이터,데이터수정!116,edition:재편찬판본
R00000116,P000074,art:authored,I000270,1931,발표매체,"제6권 제5호,1931-6",한국문학잡지데이터,데이터수정!117,edition:재편찬판본
R00000117,P000074,art:authored,I000270,1932,발표매체,"제7권 제1호,1932-1",한국문학잡지데이터,데이터수정!118,edition:재편찬판본
R00000118,P000075,art:authored,I000343,1928,발표매체,"제3권 제1호,1928-1",한국문학잡지데이터,데이터수정!119,edition:재편찬판본
R00000119,P000075,art:authored,I000343,1928,발표매체,"제3권 제1호,1928-1",한국문학잡지데이터,데이터수정!120,edition:재편찬판본
R00000120,P000076,art:authored,I000385,1926,발표매체,"제9호,1926-1",한국문학잡지데이터,데이터수정!121,edition:재편찬판본
R00000121,P000077,art:authored,I000739,1931,발표매체,"제1권 제5호,1931-8",한국문학잡지데이터,데이터수정!122,edition:재편찬판본
R00000122,P000077,art:authored,I000739,1931,발표매체,"제1권 제6호,1931-9",한국문학잡지데이터,데이터수정!123,edition:재편찬판본
R00000123,P000077,art:authored,I000739,1931,발표매체,"제1권 제8호,1931-11",한국문학잡지데이터,데이터수정!124,edition:재편찬판본
R00000124,P000077,art:authored,I000739,1931,발표매체,"제1권 제9호,1931-12",한국문학잡지데이터,데이터수정!125,edition:재편찬판본
R00000125,P000077,art:authored,I000739,1932,발표매체,"제2권 제1호,1932-1",한국문학잡지데이터,데이터수정!126,edition:재편찬판본
